Name,URL,State,District,Party,Terms
"Representative Hall, Ralph M.",https://www.congress.gov/member/ralph-hall/H000067,Texas,4,Republican,"House: 1981-2015"
"Representative Hanabusa, Colleen",https://www.congress.gov/member/colleen-hanabusa/H001050,Hawaii,1,Democratic,"House: 2011-2019"
"Representative Hanna, Richard L.",https://www.congress.gov/member/richard-hanna/H001051,"New York",22,Republican,"House: 2011-2017"
"Senator Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Iowa,,Democratic,"Senate: 1985-2015 | House: 1975-1985"
"Representative Harman, Jane",https://www.congress.gov/member/jane-harman/H000213,California,36,Democratic,"House: 1993-1999, 2001-2011"
"Representative Harper, Gregg",https://www.congress.gov/member/gregg-harper/H001045,Mississippi,3,Republican,"House: 2009-2019"
"Representative Harris, Andy",https://www.congress.gov/member/andy-harris/H001052,Maryland,1,Republican,"House: 2011-Present"
"Representative Hartzler, Vicky",https://www.congress.gov/member/vicky-hartzler/H001053,Missouri,4,Republican,"House: 2011-Present"
"Representative Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Florida,20,Democratic,"House: 1993-Present"
"Representative Hastings, Doc",https://www.congress.gov/member/doc-hastings/H000329,Washington,4,Republican,"House: 1995-2015"
"Senator Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,,Republican,"Senate: 1977-2019"
"Representative Hayworth, Nan A. S.",https://www.congress.gov/member/nan-hayworth/H001054,"New York",19,Republican,"House: 2011-2013"
